"table_name","table_title","table_description","column_name","column_description","column_title"
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",seafloor_depth_m_der,Single point estimate for seafloor depth representing the overall seafloor depth in meters for the haul.  The standard up through present has been the single point estimate of gear depth summed with the single point estimate of net height in meters,Seafloor Depth (m) Derived
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",seafloor_depth_type,Method used for deriving the seafloor depth single point,Seafloor Depth Type
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",seafloor_depth_whid,warehouse identifier for seafloor depth,Seafloor Depth Whid
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",target_station_design_whid,warehouse identifier for target station design,Target Station Design Whid
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",temperature_at_gear_c_der,Single point estimate for temperature in degrees C at the gear for a haul.  The standard up through present has been the mean over the center 80 percent of the tow duration of the best temperature sensor trace within the haul,Temperature At Gear (c) Derived
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",temperature_at_surface_c_der,Single point estimate for surface temperature in degrees C for a haul.  This has been collected in various ways over the course of the survey.  It is likely that the PI-associated temperature sensor would be the most reliable; other sources would have to be evaluated for survey cycles preceding the introduction of this sensor unit.  It is ordinarily expected that the depth represented by the temperature estimate be provided in association with the temperature estimate itself,Temperature At Surface (c) Derived
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",turbidity_ntu_der,Single point turbidity estimate for a haul in ntu (nephelometric turbidity units).  This estimate has not been computed to date; it is unknow what the best estimator would be,Turbidity (ntu) Derived
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",vertebrate_weight_kg,Total catch vertebrate weight in kilograms,Vertebrate Weight (kg)
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",vessel_end_latitude_dd,Longitude at the vessel when sampling commences (net touchdown for trawling).,Vessel End Latitude (dd)
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",vessel_end_latitude_whid,Warehouse identifier for vessel end latitude,Vessel End Latitude Whid
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",vessel_end_longitude_dd,Longitude at the vessel when sampling ceases (net touchdown for trawling).,Vessel End Longitude (dd)
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",vessel_end_longitude_whid,Warehouse identifier for vessel end longitude,Vessel End Longitude Whid
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",vessel_start_latitude_dd,Latitude at the vessel when sampling commences (net touchdown for trawling).,Vessel Start Latitude (dd)
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",vessel_start_latitude_whid,Warehouse identifier for vessel start latitude,Vessel Start Latitude Whid
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",vessel_start_longitude_dd,Latitude at the vessel when sampling ceases (net liftoff for trawling).,Vessel Start Longitude (dd)
operation_haul_fact,Operation Haul Fact,"Operation details including dates, times, location, depths, tempuratures, etc",vessel_start_longitude_whid,Warehouse identifier for vessel start longitude,Vessel Start Longitude Whid
